log density,% GOP,State, County
3.553239,73.21248,Alabama,Autauga
3.5526903,78.20596,Alabama,Baldwin
2.458345,48.53663,Alabama,Barbour
2.6470149,73.592606,Alabama,Bibb
3.52741,87.507385,Alabama,Blount
1.9048721,23.54936,Alabama,Bullock
2.3410845,53.778576,Alabama,Butler
4.3136578,66.136505,Alabama,Calhoun
3.0847423,52.571114,Alabama,Chambers
2.8171535,77.90021,Alabama,Cherokee
3.1814456,80.39998,Alabama,Chilton
1.7589993,52.29994,Alabama,Choctaw
2.07225,54.1582,Alabama,Clarke
2.1836257,73.06756,Alabama,Clay
2.3329635,84.4391,Alabama,Cleburne
3.3493667,74.9245,Alabama,Coffee
3.5179873,60.330864,Alabama,Colbert
1.7892246,49.16249,Alabama,Conecuh
1.8935004,58.052147,Alabama,Coosa
2.6375964,79.383125,Alabama,Covington
2.17131,67.86947,Alabama,Crenshaw
3.7175918,85.1914,Alabama,Cullman
3.541682,71.2693,Alabama,Dale
2.8348224,30.091461,Alabama,Dallas
3.5624876,77.771645,Alabama,DeKalb
3.8453064,74.57555,Alabama,Elmore
2.7418065,62.84687,Alabama,Escambia
4.296616,69.4658,Alabama,Etowah
2.359783,76.993744,Alabama,Fayette
2.9407976,70.46936,Alabama,Franklin
2.8842456,81.814125,Alabama,Geneva
1.6616421,15.038585,Alabama,Greene
2.2258923,37.24146,Alabama,Hale
2.4651494,64.7902,Alabama,Henry
4.212337,70.29017,Alabama,Houston
2.902376,71.25846,Alabama,Jackson
5.421244,46.969982,Alabama,Jefferson
2.2264006,76.84611,Alabama,Lamar
3.9079003,65.654015,Alabama,Lauderdale
2.9155936,63.659237,Alabama,Lawrence
4.480082,60.113243,Alabama,Lee
3.969289,72.03182,Alabama,Limestone
1.7920746,23.383549,Alabama,Lowndes
2.6123226,12.752002,Alabama,Macon
5.0729017,59.469048,Alabama,Madison
2.1090624,46.37037,Alabama,Marengo
2.7709587,81.172035,Alabama,Marion
4.0563354,80.43736,Alabama,Marshall
4.5749426,54.6678,Alabama,Mobile
2.148874,53.919262,Alabama,Monroe
4.7082906,37.800663,Alabama,Montgomery
4.345043,72.4882,Alabama,Morgan
1.7266779,24.900661,Alabama,Perry
2.146666,53.506847,Alabama,Pickens
2.9414418,56.918556,Alabama,Pike
2.7186034,70.12142,Alabama,Randolph
3.4579456,44.089287,Alabama,Russell
4.5364575,78.12846,Alabama,Shelby
3.9018452,83.357765,Alabama,St. Clair
1.7609866,22.626696,Alabama,Sumter
3.729832,58.066174,Alabama,Talladega
3.0414321,66.30558,Alabama,Tallapoosa
4.020491,58.815277,Alabama,Tuscaloosa
3.4702957,76.75632,Alabama,Walker
1.8315538,65.9289,Alabama,Washington
1.5972232,25.615162,Alabama,Wilcox
2.7015908,86.59858,Alabama,Winston
,57.21182,Alaska,Alaska
0.9023968,32.487988,Arizona,Apache
2.1014388,62.24136,Arizona,Cochise
1.0242629,42.395588,Arizona,Coconino
1.4603397,63.786682,Arizona,Gila
1.127465,69.12016,Arizona,Graham
0.556624,54.827587,Arizona,Greenlee
0.56039387,66.43864,Arizona,La Paz
5.075808,56.095688,Arizona,Maricopa
1.7540251,71.60946,Arizona,Mohave
1.4279932,54.245014,Arizona,Navajo
3.7200408,46.983307,Arizona,Pima
3.318031,58.726776,Arizona,Pinal
2.694842,30.865097,Arizona,Santa Cruz
2.3055723,65.6622,Arizona,Yavapai
2.6224904,56.48527,Arizona,Yuma
1.9513279,61.32997,Arkansas,Arkansas
2.1950297,63.022926,Arkansas,Ashley
3.307421,72.57688,Arkansas,Baxter
4.583011,70.591736,Arkansas,Benton
3.1644354,74.76015,Arkansas,Boone
1.9154286,59.41094,Arkansas,Bradley
1.1791704,68.838524,Arkansas,Calhoun
2.8115828,62.382797,Arkansas,Carroll
1.8859769,38.66636,Arkansas,Chicot
2.3064868,53.281807,Arkansas,Clark
2.2700267,64.98086,Arkansas,Clay
2.8306918,76.850296,Arkansas,Cleburne
1.7238185,73.21485,Arkansas,Cleveland
2.5122068,61.945007,Arkansas,Columbia
2.6732752,60.034603,Arkansas,Conway
3.9582856,65.94505,Arkansas,Craighead
3.6796138,75.636345,Arkansas,Crawford
3.4294505,40.512955,Arkansas,Crittenden
2.4042687,65.19016,Arkansas,Cross
1.5426897,55.448185,Arkansas,Dallas
1.8106694,43.4375,Arkansas,Desha
2.1461625,59.646698,Arkansas,Drew
4.1942024,66.28121,Arkansas,Faulkner
2.4238403,72.86029,Arkansas,Franklin
2.0312552,67.0075,Arkansas,Fulton
3.922848,65.273285,Arkansas,Garland
2.390041,76.69949,Arkansas,Grant
3.3348067,69.39681,Arkansas,Greene
2.4656086,63.466667,Arkansas,Hempstead
3.017789,64.9528,Arkansas,Hot Spring
2.1934402,66.219345,Arkansas,Howard
2.6106353,72.68183,Arkansas,Independence
2.2014778,69.5559,Arkansas,Izard
2.3818874,59.422256,Arkansas,Jackson
3.486185,35.278633,Arkansas,Jefferson
2.6713398,64.43167,Arkansas,Johnson
1.6881902,59.341423,Arkansas,Lafayette
2.4302716,66.43488,Arkansas,Lawrence
1.8720115,37.791557,Arkansas,Lee
2.2531378,60.695557,Arkansas,Lincoln
2.1947088,68.5639,Arkansas,Little River
2.4664316,71.65232,Arkansas,Logan
3.498131,76.9163,Arkansas,Lonoke
1.9803845,67.002045,Arkansas,Madison
2.3060224,70.213394,Arkansas,Marion
3.2727826,70.15724,Arkansas,Miller
2.9675612,50.59031,Arkansas,Mississippi
1.6192243,50.031567,Arkansas,Monroe
1.5213072,72.01946,Arkansas,Montgomery
1.7202162,60.302116,Arkansas,Nevada
1.6767879,71.63667,Arkansas,Newton
2.6124976,54.387695,Arkansas,Ouachita
1.976106,68.48952,Arkansas,Perry
2.4431505,33.346203,Arkansas,Phillips
1.9605558,77.008385,Arkansas,Pike
2.5195966,67.54147,Arkansas,Poinsett
2.2252398,79.26992,Arkansas,Polk
3.3585885,74.25533,Arkansas,Pope
1.6047251,71.017845,Arkansas,Prairie
5.2110906,44.16366,Arkansas,Pulaski
2.358645,64.453735,Arkansas,Randolph
,41.4032,Arkansas,Saint Francis
4.041813,71.922325,Arkansas,Saline
1.5788746,74.60993,Arkansas,Scott
1.5527433,76.82892,Arkansas,Searcy
4.4885974,69.027725,Arkansas,Sebastian
2.4331744,75.05386,Arkansas,Sevier
2.277709,70.16543,Arkansas,Sharp
2.064477,73.562096,Arkansas,Stone
2.7213423,63.372437,Arkansas,Union
2.222017,70.49127,Arkansas,Van Buren
4.4117627,58.44386,Arkansas,Washington
3.3553126,77.62903,Arkansas,White
1.5522909,47.79899,Arkansas,Woodruff
2.2008755,70.14407,Arkansas,Yell
,18.963808,California,Alameda
-0.50445145,37.76,California,Alpine
3.1891437,59.73564,California,Amador
3.9249678,52.02198,California,Butte
2.8293974,58.731396,California,Calaveras
1.9702704,61.033108,California,Colusa
6.228017,32.821815,California,Contra Costa
2.1959274,55.619446,California,Del Norte
3.6665802,59.33639,California,El Dorado
4.0923433,51.491764,California,Fresno
,63.124718,California,Glenn
2.5516143,36.058514,California,Humboldt
2.7138402,35.340073,California,Imperial
-0.3578874,56.063965,California,Inyo
3.685725,59.735,California,Kern
3.748644,58.31806,California,Kings
2.9345,41.412395,California,Lake
1.0464714,70.46094,California,Lassen
6.682647,29.766077,California,Los Angeles
3.301859,59.928047,California,Madera
4.769644,24.119549,California,Marin
1.5729538,59.00985,California,Mariposa
2.1682253,30.174139,California,Mendocino
3.9174168,47.2492,California,Merced
-0.11584159,71.40288,California,Modoc
1.5132589,46.105526,California,Mono
3.7525713,32.66579,California,Monterey
4.205416,36.84477,California,Napa
3.667434,52.3951,California,Nevada
7.113964,54.23138,California,Orange
4.499482,60.249542,California,Placer
1.0810268,58.810326,California,Plumas
,50.213936,California,Riverside
6.313245,41.39146,California,Sacramento
2.7350671,41.257072,California,San Benito
3.6690764,47.23527,California,San Bernardino
5.579314,47.397194,California,San Diego
7.20096,13.761603,California,San Francisco
5.2267694,44.380985,California,San Joaquin
3.361815,49.49411,California,San Luis Obispo
,27.134312,California,San Mateo
3.7674627,41.217785,California,Santa Barbara
,28.430145,California,Santa Clara
5.119271,21.897287,California,Santa Cruz
2.8789415,65.109505,California,Shasta
0.25925997,61.8267,California,Sierra
1.0047355,58.062992,California,Siskiyou
5.1721272,35.66956,California,Solano
4.6620526,26.835518,California,Sonoma
4.8779135,49.621857,California,Stanislaus
4.0966754,61.107872,California,Sutter
2.1156769,64.144325,California,Tehama
0.50504595,50.574234,California,Trinity
3.5614092,59.103073,California,Tulare
2.2381496,58.20818,California,Tuolumne
,47.100662,California,Ventura
4.328161,32.93289,California,Yolo
3.7701123,60.05631,California,Yuba
4.976227,42.275726,Colorado,Adams
2.1118925,41.590733,Colorado,Alamosa
5.6195064,45.754112,Colorado,Arapahoe
1.2351025,59.230057,Colorado,Archuleta
-0.5549608,77.083336,Colorado,Baca
0.48262745,57.509556,Colorado,Bent
5.0222445,28.71174,Colorado,Boulder
6.6692834,46.995354,Colorado,Broomfield
1.9126565,49.909237,Colorado,Chaffee
-0.92178375,84.117645,Colorado,Cheyenne
2.1850479,43.913685,Colorado,Clear Creek
0.90810025,45.143433,Colorado,Conejos
0.10432867,25.042686,Colorado,Costilla
1.0350215,63.331047,Colorado,Crowley
0.8024698,67.32373,Colorado,Custer
2.3398547,70.32149,Colorado,Delta
7.315969,24.955816,Colorado,Denver
-0.2932798,71.80805,Colorado,Dolores
4.8785615,63.456356,Colorado,Douglas
2.4749093,42.51426,Colorado,Eagle
4.7334247,60.942753,Colorado,El Paso
1.5732754,74.1271,Colorado,Elbert
2.4675684,66.3271,Colorado,Fremont
1.9923404,52.527218,Colorado,Garfield
2.6441967,41.587902,Colorado,Gilpin
1.1164272,53.71569,Colorado,Grand
0.5953869,40.500717,Colorado,Gunnison
-1.2396322,60.689655,Colorado,Hinsdale
0.48064733,45.985195,Colorado,Huerfano
-1.1053928,73.52941,Colorado,Jackson
5.5824924,47.76319,Colorado,Jefferson
-1.1930189,85.157234,Colorado,Kiowa
0.38716254,77.15031,Colorado,Kit Carson
2.4581733,45.457508,Colorado,La Plata
1.991963,37.56047,Colorado,Lake
3.7854638,47.30511,Colorado,Larimer
0.22113672,48.614372,Colorado,Las Animas
-0.200843,75.59091,Colorado,Lincoln
1.5592451,69.598816,Colorado,Logan
2.8277836,66.76094,Colorado,Mesa
-1.1696846,54.17323,Colorado,Mineral
0.11603607,78.14458,Colorado,Moffat
1.5752511,62.169,Colorado,Montezuma
1.9585823,68.606834,Colorado,Montrose
2.1226702,63.20681,Colorado,Morgan
1.7462671,54.751934,Colorado,Otero
1.1539648,47.26688,Colorado,Ouray
1.0442247,57.74472,Colorado,Park
0.919254,73.57304,Colorado,Phillips
1.9186486,30.67056,Colorado,Pitkin
1.0797392,68.11409,Colorado,Prowers
3.2455676,43.29979,Colorado,Pueblo
-0.23111561,82.67449,Colorado,Rio Blanco
1.6272833,54.3609,Colorado,Rio Grande
1.3412142,42.04706,Colorado,Routt
-0.29088584,34.71656,Colorado,Saguache
-0.34880313,44.351463,Colorado,San Juan
0.7913159,27.868454,Colorado,San Miguel
0.5103387,67.76923,Colorado,Sedgwick
2.880727,37.47272,Colorado,Summit
2.784823,67.008385,Colorado,Teller
-0.30534697,81.70635,Colorado,Washington
3.19485,56.801617,Colorado,Weld
0.4931528,78.32535,Colorado,Yuma
6.0488443,44.50652,Connecticut,Fairfield
6.130544,37.026306,Connecticut,Hartford
4.35063,51.858727,Connecticut,Litchfield
4.981359,41.917118,Connecticut,Middlesex
5.95661,37.486073,Connecticut,New Haven
4.9203115,40.73513,Connecticut,New London
4.9517136,43.618855,Connecticut,Tolland
4.474936,43.223732,Connecticut,Windham
4.364461,47.494053,Delaware,Kent
6.043295,32.715878,Delaware,New Castle
4.1571865,56.594307,Delaware,Sussex
4.5907927,41.187004,Florida,Alachua
2.8771727,79.528534,Florida,Baker
4.1475224,72.06971,Florida,Bay
3.6016269,71.19584,Florida,Bradford
4.9042187,56.430298,Florida,Brevard
6.239298,32.447327,Florida,Broward
2.2867517,72.40464,Florida,Calhoun
4.276282,57.207573,Florida,Charlotte
4.2565455,61.081932,Florida,Citrus
4.742957,73.10974,Florida,Clay
3.99011,65.12626,Florida,Collier
3.4841003,68.53222,Florida,Columbia
3.0485523,57.237988,Florida,DeSoto
1.9918716,73.75182,Florida,Dixie
5.8971195,51.82455,Florida,Duval
4.8777084,60.392303,Florida,Escambia
4.173259,53.749252,Florida,Flagler
1.4602575,65.92798,Florida,Franklin
3.524779,29.59457,Florida,Gadsden
2.9158437,75.83953,Florida,Gilchrist
1.614933,59.386875,Florida,Glades
2.1062655,71.27569,Florida,Gulf
2.3944914,58.49338,Florida,Hamilton
2.8231235,65.60447,Florida,Hardee
2.5415127,52.988323,Florida,Hendry
4.7310944,54.30185,Florida,Hernando
3.539935,61.608692,Florida,Highlands
5.929992,46.61849,Florida,Hillsborough
2.7526486,84.553345,Florida,Holmes
4.460427,61.25007,Florida,Indian River
3.000134,64.63221,Florida,Jackson
2.191321,49.11647,Florida,Jefferson
1.8352036,79.5231,Florida,Lafayette
4.6000547,58.648705,Florida,Lake
5.28652,58.333332,Florida,Lee
5.02212,38.04894,Florida,Leon
2.4103045,66.32912,Florida,Levy
1.3422345,70.95282,Florida,Liberty
2.3391013,51.734505,Florida,Madison
4.9405694,56.292244,Florida,Manatee
4.343071,58.198788,Florida,Marion
4.31898,61.550648,Florida,Martin
5.985303,38.082253,Florida,Miami-Dade
2.0233138,49.795475,Florida,Monroe
3.6659055,74.48911,Florida,Nassau
4.1669326,74.99278,Florida,Okaloosa
2.8525898,60.134636,Florida,Okeechobee
6.0908165,40.808014,Florida,Orange
4.2363553,37.651,Florida,Osceola
5.3663282,41.43914,Florida,Palm Beach
5.3331,53.370106,Florida,Pasco
6.3661838,47.14989,Florida,Pinellas
4.752003,53.44388,Florida,Polk
3.5459833,62.35803,Florida,Putnam
3.9119422,76.612755,Florida,Santa Rosa
5.3102145,53.745537,Florida,Sarasota
6.1604285,53.27173,Florida,Seminole
4.4991183,69.06595,Florida,St. Johns
5.0525637,46.04042,Florida,St. Lucie
4.139767,67.55647,Florida,Sumter
3.1430767,72.7398,Florida,Suwannee
1.956551,69.35627,Florida,Taylor
3.1788945,74.826096,Florida,Union
4.893129,50.593697,Florida,Volusia
2.784203,64.22792,Florida,Wakulla
2.8476224,76.32159,Florida,Walton
2.7481244,74.02597,Florida,Washington
2.625937,74.867615,Georgia,Appling
2.2396362,67.57322,Georgia,Atkinson
2.7055225,79.62915,Georgia,Bacon
1.322155,49.809402,Georgia,Baker
4.172444,47.24679,Georgia,Baldwin
3.413512,87.29615,Georgia,Banks
5.1068964,75.669014,Georgia,Barrow
4.410198,76.20494,Georgia,Bartow
3.2891636,57.51313,Georgia,Ben Hill
2.7908394,79.23014,Georgia,Berrien
5.462583,39.919556,Georgia,Bibb
3.1432998,73.90767,Georgia,Bleckley
2.7658942,84.09014,Georgia,Brantley
2.5310068,53.178318,Georgia,Brooks
3.2521513,72.07527,Georgia,Bryan
3.6792922,59.664574,Georgia,Bulloch
2.3805084,44.30471,Georgia,Burke
3.8734553,68.011215,Georgia,Butts
2.2101305,40.504585,Georgia,Calhoun
3.2187572,64.03033,Georgia,Camden
2.8384516,66.99057,Georgia,Candler
4.440178,69.09549,Georgia,Carroll
5.021235,76.91446,Georgia,Catoosa
1.8441317,67.85714,Georgia,Charlton
5.0895615,43.937103,Georgia,Chatham
2.8410118,50.20576,Georgia,Chattahoochee
3.464767,70.99556,Georgia,Chattooga
5.254834,79.42276,Georgia,Cherokee
5.919944,35.22327,Georgia,Clarke
1.7283578,38.38456,Georgia,Clay
6.5455885,14.810088,Georgia,Clayton
1.1582657,65.22449,Georgia,Clinch
6.6488853,56.404488,Georgia,Cobb
3.307212,64.6746,Georgia,Coffee
3.4516447,69.94171,Georgia,Colquitt
5.0537877,71.759766,Georgia,Columbia
3.3529336,65.82999,Georgia,Cook
4.707079,72.33752,Georgia,Coweta
2.7039328,66.45607,Georgia,Crawford
3.4712095,56.942364,Georgia,Crisp
3.6073525,76.04913,Georgia,Dade
3.697489,87.693375,Georgia,Dawson
2.8468432,55.944595,Georgia,Decatur
6.8948083,21.293194,Georgia,DeKalb
2.8178346,68.12125,Georgia,Dodge
2.6707041,46.538372,Georgia,Dooly
4.6929073,30.387783,Georgia,Dougherty
5.5454984,48.001316,Georgia,Douglas
2.1061618,48.063183,Georgia,Early
1.3119391,84.12844,Georgia,Echols
3.7353926,75.93513,Georgia,Effingham
3.0308406,60.440517,Georgia,Elbert
2.539173,63.53529,Georgia,Emanuel
3.1237974,64.16643,Georgia,Evans
3.1517718,79.4838,Georgia,Fannin
5.3357196,65.88166,Georgia,Fayette
4.27346,70.23052,Georgia,Floyd
5.6215916,81.909775,Georgia,Forsyth
3.4656916,80.304825,Georgia,Franklin
6.504623,35.006905,Georgia,Fulton
3.231774,82.02299,Georgia,Gilmer
2.1112182,86.575134,Georgia,Glascock
3.9642768,63.624714,Georgia,Glynn
4.086369,79.31367,Georgia,Gordon
3.0469463,63.397923,Georgia,Grady
2.7229,61.328976,Georgia,Greene
6.5710907,54.74949,Georgia,Gwinnett
4.087926,84.098305,Georgia,Habersham
5.088446,78.61729,Georgia,Hall
2.032636,18.794588,Georgia,Hancock
3.6706483,82.52493,Georgia,Haralson
3.2677612,72.99465,Georgia,Harris
3.6379273,69.42994,Georgia,Hart
2.7218258,76.913704,Georgia,Heard
5.499334,51.630924,Georgia,Henry
4.963271,60.46548,Georgia,Houston
2.3250237,68.95702,Georgia,Irwin
4.2249904,81.86488,Georgia,Jackson
2.666178,69.144295,Georgia,Jasper
2.8552744,75.85945,Georgia,Jeff Davis
2.509769,41.383125,Georgia,Jefferson
2.2138937,55.888462,Georgia,Jenkins
2.5288348,65.15354,Georgia,Johnson
3.3327186,64.43556,Georgia,Jones
3.6344109,65.29741,Georgia,Lamar
2.9713094,62.054794,Georgia,Lanier
3.1280134,61.40838,Georgia,Laurens
3.4125707,76.387344,Georgia,Lee
3.6932797,34.770096,Georgia,Liberty
2.4829614,63.88889,Georgia,Lincoln
2.6409228,61.59614,Georgia,Long
4.417682,55.29848,Georgia,Lowndes
3.7043767,80.8182,Georgia,Lumpkin
2.634667,32.485283,Georgia,Macon
3.6386163,77.249016,Georgia,Madison
2.2211645,55.092297,Georgia,Marion
3.457676,57.53468,Georgia,McDuffie
2.261222,54.34956,Georgia,McIntosh
2.8156662,52.869434,Georgia,Meriwether
2.123092,69.18604,Georgia,Miller
2.8716447,50.43721,Georgia,Mitchell
3.245284,68.848404,Georgia,Monroe
2.6580603,70.10798,Georgia,Montgomery
2.968338,69.19028,Georgia,Morgan
3.7842672,76.85092,Georgia,Murray
5.806914,39.282394,Georgia,Muscogee
4.93078,48.99003,Georgia,Newton
3.2754228,74.69747,Georgia,Oconee
,68.95992,Georgia,Oglethorpe
5.1649466,72.09726,Georgia,Paulding
4.2624183,46.23063,Georgia,Peach
3.8876896,84.22776,Georgia,Pickens
3.0497959,83.44624,Georgia,Pierce
3.4527802,83.0942,Georgia,Pike
3.9357274,73.08668,Georgia,Polk
2.9143677,66.72127,Georgia,Pulaski
3.1232045,68.03988,Georgia,Putnam
,45.454544,Georgia,Quitman
2.813487,78.689644,Georgia,Rabun
1.9303046,41.661106,Georgia,Randolph
5.465841,32.984592,Georgia,Richmond
5.520869,41.7348,Georgia,Rockdale
2.4443722,74.16378,Georgia,Schley
2.1445036,54.261646,Georgia,Screven
2.5750504,60.338802,Georgia,Seminole
4.8176513,60.12104,Georgia,Spalding
4.005589,77.245445,Georgia,Stephens
1.6184332,36.150463,Georgia,Stewart
3.248792,45.750298,Georgia,Sumter
1.9007347,34.679745,Georgia,Talbot
1.2131423,33.54232,Georgia,Taliaferro
3.00834,71.28563,Georgia,Tattnall
2.1912503,55.356636,Georgia,Taylor
2.661575,57.87999,Georgia,Telfair
2.3720622,41.891273,Georgia,Terrell
3.4438465,59.311848,Georgia,Thomas
4.042659,66.403595,Georgia,Tift
3.3523018,70.40717,Georgia,Toombs
3.1616006,79.258896,Georgia,Towns
2.5760167,60.64849,Georgia,Treutlen
4.0630097,58.992805,Georgia,Troup
2.4778745,57.340878,Georgia,Turner
2.2561421,45.639675,Georgia,Twiggs
3.2205338,80.408875,Georgia,Union
3.4623637,64.63698,Georgia,Upson
4.0859528,75.50897,Georgia,Walker
4.588314,78.09565,Georgia,Walton
2.7406695,67.08668,Georgia,Ware
2.0555117,39.363815,Georgia,Warren
2.4805403,46.154728,Georgia,Washington
2.886257,74.43579,Georgia,Wayne
1.6357526,51.067463,Georgia,Webster
2.2991087,63.891487,Georgia,Wheeler
3.7695353,83.813126,Georgia,White
4.91536,72.83918,Georgia,Whitfield
2.2371132,65.9376,Georgia,Wilcox
2.145317,55.81988,Georgia,Wilkes
2.0987515,50.734463,Georgia,Wilkinson
2.6762755,70.22755,Georgia,Worth
2.6440716,23.755533,Hawaii,Hawaii
5.156011,30.185984,Hawaii,Honolulu
3.0201185,24.722322,Hawaii,Kauai
3.2169456,24.343931,Hawaii,Maui
4.9650726,55.852825,Idaho,Ada
0.10826364,71.00503,Idaho,Adams
3.3302784,61.389668,Idaho,Bannock
0.7880934,89.179504,Idaho,Bear Lake
1.5203085,69.04256,Idaho,Benewah
2.1199474,77.85888,Idaho,Bingham
1.1299467,39.66368,Idaho,Blaine
0.3511512,70.55916,Idaho,Boise
2.1077383,63.620083,Idaho,Bonner
3.0563204,76.50775,Idaho,Bonneville
1.2023083,71.92299,Idaho,Boundary
-0.6915287,79.507545,Idaho,Butte
-0.9251313,71.65775,Idaho,Camas
4.7964416,69.07294,Idaho,Canyon
0.40445116,87.13665,Idaho,Caribou
1.2400002,86.740265,Idaho,Cassia
-1.5400066,78.07309,Idaho,Clark
0.3056926,71.11671,Idaho,Clearwater
-1.0736482,76.693054,Idaho,Custer
1.2154176,67.5323,Idaho,Elmore
2.0011027,94.11232,Idaho,Franklin
0.99244696,85.83173,Idaho,Fremont
2.4310586,73.073746,Idaho,Gem
2.098433,74.17219,Idaho,Gooding
,77.17088,Idaho,Idaho County
2.2139285,88.36399,Idaho,Jefferson
2.667625,73.8736,Idaho,Jerome
3.7075977,67.640236,Idaho,Kootenai
2.593536,47.744576,Idaho,Latah
-0.3971145,75.933815,Idaho,Lemhi
1.1233513,74.760994,Idaho,Lewis
0.51238483,72.675156,Idaho,Lincoln
3.424064,94.17245,Idaho,Madison
2.318668,79.654564,Idaho,Minidoka
2.875463,60.70776,Idaho,Nez Perce
0.32157853,89.44039,Idaho,Oneida
-0.55091983,77.03336,Idaho,Owyhee
3.0594423,72.55589,Idaho,Payette
0.7442992,65.56802,Idaho,Power
0.62320256,54.240353,Idaho,Shoshone
2.163585,56.06752,Idaho,Teton
2.7420125,72.39145,Idaho,Twin Falls
0.011615032,55.978146,Idaho,Valley
0.9844198,73.91304,Idaho,Washington
3.393255,67.90786,Illinois,Adams
2.5302553,43.09344,Illinois,Alexander
2.8859725,57.562965,Illinois,Bond
4.306433,52.90187,Illinois,Boone
2.1629472,65.75283,Illinois,Brown
2.7372549,50.10142,Illinois,Bureau
1.9349948,57.14853,Illinois,Calhoun
2.5435529,49.257874,Illinois,Carroll
2.6179528,56.905613,Illinois,Cass
4.3554926,46.49369,Illinois,Champaign
2.9321542,61.789692,Illinois,Christian
2.5227087,66.51133,Illinois,Clark
2.4286897,72.57589,Illinois,Clay
3.3688257,65.295586,Illinois,Clinton
3.7096562,55.679043,Illinois,Coles
7.113112,24.980309,Illinois,Cook
2.8430798,66.14089,Illinois,Crawford
2.5088456,68.130585,Illinois,Cumberland
4.1597834,47.17419,Illinois,DeKalb
,63.785892,Illinois,DeWitt
2.9175475,68.72502,Illinois,Douglas
6.9581532,49.478176,Illinois,DuPage
2.4395046,66.66233,Illinois,Edgar
2.4558024,76.109,Illinois,Edwards
3.3153014,76.41625,Illinois,Effingham
2.4671357,67.629005,Illinois,Fayette
2.4142225,71.86597,Illinois,Ford
3.5680652,58.59527,Illinois,Franklin
2.785342,44.306168,Illinois,Fulton
1.8837098,59.20635,Illinois,Gallatin
2.2835717,63.00969,Illinois,Greene
3.8068767,54.57913,Illinois,Grundy
2.013927,66.962425,Illinois,Hamilton
2.2033348,59.70705,Illinois,Hancock
2.2132652,67.41326,Illinois,Hardin
1.9693282,43.755333,Illinois,Henderson
3.1603513,48.42546,Illinois,Henry
2.3265035,72.78607,Illinois,Iroquois
3.6544285,44.676064,Illinois,Jackson
2.0173185,71.001015,Illinois,Jasper
3.244286,61.7249,Illinois,Jefferson
3.157741,62.262592,Illinois,Jersey
,49.414604,Illinois,JoDaviess
2.6355996,71.591324,Illinois,Johnson
5.9414496,49.552105,Illinois,Kane
4.164439,51.724136,Illinois,Kankakee
4.925458,52.096172,Illinois,Kendall
3.3460667,41.27723,Illinois,Knox
5.292474,45.90539,Illinois,Lake
3.6451457,50.199005,Illinois,LaSalle
2.8551874,65.71721,Illinois,Lawrence
2.9463627,53.71879,Illinois,Lee
2.6648612,66.02751,Illinois,Livingston
2.9382198,66.3477,Illinois,Logan
4.2918286,52.671215,Illinois,Macon
3.0567477,53.609512,Illinois,Macoupin
4.9453297,50.699112,Illinois,Madison
3.2747495,59.777187,Illinois,Marion
2.503453,57.274788,Illinois,Marshall
2.3056915,53.24527,Illinois,Mason
3.2039962,67.158554,Illinois,Massac
3.0607212,50.764526,Illinois,McDonough
5.2750874,54.49653,Illinois,McHenry
4.0126057,55.649464,Illinois,McLean
2.7457612,65.30882,Illinois,Menard
2.4116347,46.245674,Illinois,Mercer
3.4664302,63.679466,Illinois,Monroe
2.7949634,57.264885,Illinois,Montgomery
3.1771715,57.888615,Illinois,Morgan
2.8131907,63.835896,Illinois,Moultrie
3.2976654,58.521362,Illinois,Ogle
4.7360682,47.761097,Illinois,Peoria
2.9602802,59.044037,Illinois,Perry
2.6860526,63.723064,Illinois,Piatt
2.0106037,68.074066,Illinois,Pike
1.523203,69.953705,Illinois,Pope
2.4601607,52.93121,Illinois,Pulaski
2.6011999,49.051666,Illinois,Putnam
3.0741172,59.01546,Illinois,Randolph
2.8511958,66.80731,Illinois,Richland
4.838467,38.906345,Illinois,Rock Island
3.2139497,64.790474,Illinois,Saline
4.466963,54.435783,Illinois,Sangamon
1.8872794,54.43506,Illinois,Schuyler
2.0999959,63.541668,Illinois,Scott
2.4186463,67.20731,Illinois,Shelby
5.0427704,42.635292,Illinois,St. Clair
2.0743456,58.237988,Illinois,Stark
3.4841447,52.359848,Illinois,Stephenson
4.375418,59.120552,Illinois,Tazewell
2.7884958,61.229286,Illinois,Union
3.5531695,58.018005,Illinois,Vermilion
3.0062315,68.6228,Illinois,Wabash
2.5325007,47.055622,Illinois,Warren
2.3087592,66.164474,Illinois,Washington
2.20082,79.807945,Illinois,Wayne
2.4212594,68.37768,Illinois,White
3.4775567,41.17898,Illinois,Whiteside
5.7324767,48.138176,Illinois,Will
4.055929,62.73244,Illinois,Williamson
5.3916545,47.101425,Illinois,Winnebago
3.3139017,69.9422,Illinois,Woodford
3.665765,70.163315,Indiana,Adams
5.3381915,58.509693,Indiana,Allen
4.284854,62.995995,Indiana,Bartholomew
2.133663,66.77179,Indiana,Benton
3.3960013,58.44296,Indiana,Blackford
3.9487414,69.31412,Indiana,Boone
2.920336,58.624424,Indiana,Brown
3.0329692,65.490555,Indiana,Carroll
3.590282,61.114735,Indiana,Cass
4.2909684,55.02955,Indiana,Clark
3.3620498,66.05891,Indiana,Clay
3.4553068,65.71281,Indiana,Clinton
2.595711,54.23957,Indiana,Crawford
3.3331478,75.81142,Indiana,Daviess
4.1430755,70.220825,Indiana,Dearborn
